dateTime,open,high,low,close,adjClose,vol,openInterest
1263229200000,1.45457,1.45508,1.45323,1.45340,1.45340,2683,0
1263232800000,1.45342,1.45448,1.45079,1.45080,1.45080,1889,0
1263236400000,1.45083,1.45333,1.45080,1.45298,1.45298,1411,0
1263240000000,1.45297,1.45421,1.45171,1.45190,1.45190,1296,0
1263243600000,1.45192,1.45272,1.45174,1.45195,1.45195,901,0
1263247200000,1.45193,1.45214,1.45071,1.45119,1.45119,1029,0
1263250800000,1.45120,1.45204,1.45009,1.45120,1.45120,1050,0
1263254400000,1.45128,1.45176,1.45032,1.45072,1.45072,728,0
1263258000000,1.45074,1.45075,1.44875,1.44877,1.44877,1590,0
1263261600000,1.44878,1.44962,1.44798,1.44903,1.44903,1643,0
1263265200000,1.44901,1.44950,1.44537,1.44871,1.44871,2706,0
1263268800000,1.44876,1.44935,1.44715,1.44734,1.44734,1218,0
1263272400000,1.44735,1.44879,1.44717,1.44832,1.44832,828,0
1263276000000,1.44833,1.44966,1.44820,1.44933,1.44933,976,0
1263279600000,1.44932,1.45109,1.44902,1.44999,1.44999,1858,0
1263283200000,1.44998,1.45206,1.44877,1.45051,1.45051,2664,0
1263286800000,1.45054,1.45143,1.44792,1.44820,1.44820,2624,0
1263290400000,1.44821,1.44923,1.44682,1.44902,1.44902,2322,0
1263294000000,1.44901,1.45085,1.44891,1.45044,1.45044,2015,0
1263297600000,1.45040,1.45044,1.44622,1.44795,1.44795,2872,0
1263301200000,1.44791,1.45031,1.44730,1.44999,1.44999,2487,0
1263304800000,1.45000,1.45068,1.44668,1.44695,1.44695,3094,0
1263308400000,1.44700,1.45140,1.44663,1.45082,1.45082,3223,0
1263312000000,1.45083,1.45448,1.44969,1.45359,1.45359,3281,0
1263315600000,1.45356,1.45423,1.45206,1.45218,1.45218,1947,0
1263319200000,1.45217,1.45250,1.44987,1.45059,1.45059,2167,0
1263322800000,1.45057,1.45080,1.44830,1.44972,1.44972,1967,0
1263326400000,1.44970,1.44977,1.44867,1.44971,1.44971,1224,0
1263330000000,1.44969,1.44974,1.44826,1.44898,1.44898,1045,0
1263333600000,1.44901,1.44967,1.44820,1.44851,1.44851,1022,0
1263337200000,1.44859,1.44942,1.44820,1.44920,1.44920,702,0
1263340800000,1.44918,1.44918,1.44728,1.44755,1.44755,906,0
1263344400000,1.44754,1.44834,1.44670,1.44683,1.44683,1413,0
1263348000000,1.44681,1.44781,1.44561,1.44762,1.44762,1823,0
1263351600000,1.44763,1.44858,1.44708,1.44739,1.44739,1193,0
1263355200000,1.44740,1.44808,1.44653,1.44797,1.44797,1113,0
1263358800000,1.44798,1.44913,1.44779,1.44889,1.44889,1011,0
1263362400000,1.44890,1.44907,1.44802,1.44858,1.44858,1274,0
1263366000000,1.44859,1.45047,1.44802,1.45024,1.45024,1444,0
1263369600000,1.45025,1.45141,1.44836,1.44838,1.44838,1993,0
1263373200000,1.44840,1.44888,1.44632,1.44818,1.44818,2727,0
1263376800000,1.44820,1.45109,1.44813,1.44982,1.44982,2647,0
1263380400000,1.44979,1.45217,1.44886,1.45161,1.45161,2078,0
1263384000000,1.45160,1.45531,1.45126,1.45469,1.45469,2709,0
1263387600000,1.45468,1.45785,1.45425,1.45649,1.45649,2789,0
1263391200000,1.45650,1.45755,1.45587,1.45713,1.45713,2202,0
1263394800000,1.45711,1.45716,1.45426,1.45516,1.45516,3585,0
1263398400000,1.45517,1.45517,1.44932,1.45078,1.45078,3981,0
1263402000000,1.45079,1.45079,1.44727,1.44901,1.44901,3257,0
1263405600000,1.44900,1.45208,1.44894,1.45035,1.45035,2222,0
1263409200000,1.45036,1.45123,1.44833,1.45037,1.45037,2230,0
1263412800000,1.45042,1.45131,1.44965,1.45119,1.45119,1726,0
1263416400000,1.45120,1.45157,1.45049,1.45084,1.45084,1052,0
1263420000000,1.45083,1.45139,1.45079,1.45098,1.45098,805,0
1263423600000,1.45097,1.45103,1.45049,1.45052,1.45052,341,0
1263427200000,1.45105,1.45236,1.45081,1.45223,1.45223,542,0
1263430800000,1.45222,1.45373,1.45195,1.45313,1.45313,1750,0
1263434400000,1.45314,1.45368,1.45212,1.45360,1.45360,1221,0
1263438000000,1.45362,1.45477,1.45335,1.45451,1.45451,1238,0
1263441600000,1.45449,1.45453,1.45358,1.45374,1.45374,729,0
1263445200000,1.45374,1.45387,1.45279,1.45316,1.45316,831,0
1263448800000,1.45317,1.45547,1.45309,1.45519,1.45519,1194,0
1263452400000,1.45518,1.45518,1.45299,1.45407,1.45407,1739,0
1263456000000,1.45404,1.45547,1.45255,1.45325,1.45325,1915,0
1263459600000,1.45329,1.45330,1.45136,1.45198,1.45198,2156,0
1263463200000,1.45194,1.45312,1.45021,1.45052,1.45052,2136,0
1263466800000,1.45051,1.45161,1.44958,1.45050,1.45050,2250,0
1263470400000,1.45049,1.45134,1.44898,1.44909,1.44909,2075,0
1263474000000,1.44907,1.44954,1.44771,1.44860,1.44860,2279,0
1263477600000,1.44856,1.45196,1.44832,1.45073,1.45073,3560,0
1263481200000,1.45075,1.45135,1.44645,1.44722,1.44722,3639,0
1263484800000,1.44720,1.44906,1.44671,1.44729,1.44729,3404,0
1263488400000,1.44728,1.44818,1.44478,1.44774,1.44774,3218,0
1263492000000,1.44768,1.44971,1.44751,1.44922,1.44922,2133,0
